Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,GOOG,GOOG,GOOG,GOOG,GOOG,META,META,META,META,META,NFLX,NFLX,NFLX,NFLX,NFLX
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Datetime,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-21 13:30:00+00:00,218.40499877929688,222.23989868164062,218.0,221.72000122070312,14973073,261.8800048828125,265.2900085449219,261.8800048828125,263.4999084472656,17003580,255.3300018310547,255.3300018310547,252.0,252.4781951904297,3890195,736.260009765625,738.5,731.280029296875,732.7949829101562,2027490,1242.0,1248.599853515625,1231.7750244140625,1238.1800537109375,1122008
2025-10-21 14:30:00+00:00,221.6999969482422,222.3699951171875,220.77000427246094,221.97000122070312,6236489,263.4599914550781,263.8299865722656,262.510009765625,263.6619873046875,4721265,252.4550018310547,253.3300018310547,244.67999267578125,246.86000061035156,6709749,732.780029296875,733.7999877929688,728.7999877929688,730.3101196289062,1056245,1238.1700439453125,1241.699951171875,1236.4000244140625,1239.6300048828125,436881
2025-10-21 15:30:00+00:00,221.9600067138672,223.14999389648438,221.52000427246094,222.97500610351562,5438723,263.6700134277344,264.5350036621094,263.0801086425781,263.1700134277344,5514253,246.85000610351562,250.27000427246094,246.4600067138672,249.5800018310547,4494131,730.4099731445312,734.489990234375,729.22900390625,733.7349853515625,837249,1239.6700439453125,1244.1500244140625,1239.487548828125,1241.7049560546875,436101
2025-10-21 16:30:00+00:00,222.97000122070312,223.32000732421875,221.15499877929688,221.5449981689453,5352732,263.1600036621094,263.6799011230469,262.8475036621094,263.3265075683594,2671606,249.5749969482422,252.94000244140625,248.0500030517578,252.10499572753906,5059000,733.8699951171875,734.75,729.780029296875,732.6834716796875,891683,1241.739990234375,1243.9300537109375,1239.425537109375,1240.9449462890625,349290
2025-10-21 17:30:00+00:00,221.5449981689453,222.6649932861328,221.52000427246094,222.5843048095703,3617774,263.3258056640625,264.04998779296875,262.1499938964844,263.44989013671875,3718095,252.0800018310547,253.27200317382812,251.1199951171875,252.75,2560589,732.8150024414062,733.3300170898438,731.6959838867188,732.989990234375,420310,1240.9140625,1243.6199951171875,1240.77001953125,1241.3299560546875,341540
2025-10-21 18:30:00+00:00,222.58999633789062,223.14990234375,222.24009704589844,222.4600067138672,3906114,263.4495849609375,263.7381896972656,262.95001220703125,263.0849914550781,3430980,252.7449951171875,253.0399932861328,251.94000244140625,252.19500732421875,1428354,732.9099731445312,734.1900024414062,732.010009765625,733.885009765625,588085,1241.39501953125,1243.989990234375,1239.9000244140625,1240.969970703125,591637
2025-10-21 19:30:00+00:00,222.4600067138672,222.49130249023438,221.9499969482422,222.02999877929688,3551617,263.0950012207031,263.2099914550781,262.4700012207031,262.8399963378906,3493018,252.22000122070312,252.3300018310547,251.27000427246094,251.32000732421875,1673729,733.6300048828125,734.25,732.510009765625,733.2490234375,653053,1240.3489990234375,1243.000244140625,1239.0,1241.780029296875,772283
2025-10-22 13:30:00+00:00,219.42999267578125,220.0050048828125,217.3300018310547,217.4499969482422,10490922,262.7900085449219,262.8500061035156,259.7200012207031,260.0498962402344,9155667,255.0399932861328,257.0799865722656,253.6649932861328,253.89999389648438,5033181,733.4000244140625,740.5900268554688,731.0590209960938,732.3400268554688,2161926,1143.3599853515625,1157.5,1122.3900146484375,1122.72998046875,5915248
